id,count_point_id,year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
20139,6789,2022,9,80,A226,PA,Major,Home Gardens,A296,555000,173860,51.44252785,0.22891291,0.7,0.4,Estimated,Estimated using AADF from previous year on this link,80,102,13787,302,2301,147,24,106,16,28,37,358,16850
20240,6797,2022,6,176,A232,PA,Major,A233,A21,542500,165130,51.36736210,0.04567621,1.0,0.6,Estimated,Estimated using AADF from previous year on this link,121,251,18801,253,4175,740,87,149,35,57,179,1246,24726
20266,6800,2022,6,177,A232,PA,Major,LA Boundary,A2043,524000,163540,51.35740717,-0.22048780,1.0,0.6,Estimated,Estimated using AADF from previous year on this link,131,151,9882,126,1364,110,27,37,19,11,8,213,11737
20292,6801,2022,6,134,A235,PA,Major,A23,A213,531550,167000,51.38680576,-0.11083710,1.3,0.8,Estimated,Estimated using AADF from previous year on this link,352,685,11055,922,2195,380,54,281,27,25,14,781,15637
20318,6802,2022,6,134,A235,PA,Major,A22,A236,532531,163997,51.35959044,-0.09786560,3.6,2.2,Estimated,Estimated using AADF from previous year on this link,307,595,20166,884,4502,469,52,90,26,13,10,660,26807
20344,6804,2022,6,134,A236,PA,Major,A232,A213,531870,165700,51.37504888,-0.10672318,1.5,0.9,Estimated,Estimated using AADF from previous year on this link,223,1063,26733,228,5534,908,34,74,7,60,22,1105,34664
20370,6805,2022,6,177,A237,PA,Major,LA Boundary,A232,528900,164000,51.36045179,-0.14998634,3.1,1.9,Counted,Automatic counter,101,269,13390,785,2984,209,33,41,15,29,21,348,17777
20396,6807,2022,6,178,A240,PA,Major,A3210,A307,518283,167984,51.39856666,-0.30107971,3.4,2.1,Estimated,Estimated using AADF from previous year on this link,252,315,9430,227,1742,109,42,37,16,10,10,224,11937
21249,6870,2022,6,103,A300,PA,Major,A3200,LA Boundary,532300,180400,51.50705366,-0.09505955,0.5,0.3,Estimated,Estimated using AADF from previous year on this link,6526,759,3355,405,1153,260,80,514,31,40,52,977,6649
21275,6871,2022,6,103,A201,PA,Major,A302,A3202,531700,179400,51.49820693,-0.10407316,0.2,0.1,Estimated,Estimated using AADF from previous year on this link,2363,1020,5710,4018,2985,374,83,153,13,10,28,660,14394
